"0.32","520","0.24","0.77","1222.299"
"0.7","510","0.88","0.73","3700"
"","1044.38","","","900"
"","","","","654.8158"
"","490","","","87.2921"
"","47.19","","","392.7789"
"","47.19","","","533.6737"
"","13.19","","","500"
"","44.41","","",""
"","251.9","0.32","0",""
"","471.84","","",""
"","1520","","",""
"","396.56","","",""
"","77.68","","","890"
"7.6","1383.21","0.34","0.98",""
"","350.28","","",""
"","352.2","","",""
"5.7","330.08","0.93","0.73","469.8244"
"","354","","",""
"","153.81","","",""
"","69.07","","","400"
"","74.97","","","800"
"","451.27","0.5","0.33",""
"","1599","","","392.8895"
"","350.28","","",""
"0.92","336.35","","","2443.9576"
"","635","","",""
"","","","","261.9263"
"4.38","53.32","","","600"
"1.06","153.52","","","440.0316"
"0.01","542","0.61","0",""
"","347.09","","",""
"","291.3","","","218.2105"
"","544.32","","",""
"","1900","","","218.1053"
"0.7","366.18","","",""
"9.24","371.73","0.31","0.93",""
"","11.72","","",""
"","1461.72","","",""
"","269.2","","","95985.891"
"0","511","0.13","0",""
"1.4","87.21","","",""
"","502.88","","",""
"3.3","330.16","","",""
"","18.26","","","300"
"2.88","446","0.68","0.57",""
"2.6","336.35","","",""
"1.91","270.55","","","149955.3068"
"","61.4","","",""
"","277.15","","","500"
"","","","","3490.684"
"","151.15","","","400"
"","47.19","","",""
"","495.71","","","2924.0207"
"","490","","","165.7842"
"","15.45","","","89000"
"4.9","75.55","","",""
"","153.81","","",""
"1","305.75","","",""
"","98.81","","",""
"","151.15","","","100"
"1.55","380.97","","",""
"","517","0.28","0.02",""
"7.7","313.25","","","5000"
"","305.1","","","4200"
"0.2","45.44","","","698.2736"
"0.4","151.15","","",""
"","","","","654.8158"
"0.53","","0.97","0.94",""
"","66.21","","",""
"2.4","297.19","","","993.2421"
"1.98","496.06","0.74","0.7","380"
"","70.59","","","500"
"","194.29","","",""
"","512.88","","","700"
"","507","","","226.1053"
"","820","","","78.5558"
"","","","","523.8526"
"0.26","149.2","","","700"
"","425.64","","",""
"2.86","11.89","","","1440.1893"
"","479.7","","","300"
"","44.41","","",""
"","271.96","","","2000"
"3.82","375.91","","","480.0316"
"","154.34","","",""
"","1550","","",""
"","1487.5","","",""
"15.3","324.68","","",""
"","13.19","","","500"
"","1909.38","","","698.2736"
"","280.48","","",""
"0.02","600","","",""
"4.8","521","0.97","0.68",""
"0.08","544.48","","",""
"","47.19","","",""
"0.21","546","0.27","0","200"
"5.25","","","",""
"","2648.5","","","261.8526"
"","44.41","","",""
"","98.81","","",""
"11.5","368.49","","","3200"
"","93.19","","","700"
"0.17","425.64","","",""
"0.25","","","",""
"3.1","274.72","","","50000"
"","1520","","","523.7052"
"","47.19","","",""
"7.1","182.5","","","70700.202"
"","52.92","","",""
"","280.79","","","346.3895"
"0.17","154.34","","",""
"1.5","349.43","","",""
"","","","","1137.3473"
"5.32","182.82","","",""
"","441.15","","","145"
"","637","1.03","0.01","621.9675"
"","270.95","","",""
"","270.95","","","40150.732"
"","101.91","","","1050"
"4.06","632.4","0.3","0.7",""
"","49.85","","",""
"","643","","","829.1999"
"","31","","",""
"","","","",""
"","232.5","","",""
"1.1","53.1","","","741.9157"
"","","","0.42",""
"","350.28","","","300"
"10","365.41","","",""
"","74.8","","",""
"","379.33","","",""
"","270.95","","","154929.455"
"1.8","1639","0.57","0.62","1483.8314"
"","11.89","","","840"
"","391.26","","",""
"","11.53","","","12045.2196"
"","","","","785.2789"
"","1275.75","","","500"
"","219.15","","","940"
"0.16","1000","0.18","0.09",""
"","103","","","3100"
"9.82","356","","","2025.5894"
"0.05","389.18","","",""
"","92.92","","","600"
"","30.49","","",""
"","151.15","","",""
"","280.79","","","300"
"","504.5","0.18","0.02",""
"","507.61","","",""
"","47.19","","",""
"","400.95","","","330.9263"
"","358.74","","",""
"1.01","154.34","","","200"
"1.88","382","0.19","0.76",""
"","105","","","1200"
"0.4","83.25","","",""
"","375","","","480.0631"
"","493.76","","","340"
"","3.96","","",""
"","60.55","","",""
"7.3","485","0.44","0.71",""
"","14.35","","",""
"","326.15","","","480.0631"
"2.44","376","0.99","0.78","785.5578"
"","355.85","","",""
"","154.34","","",""
"","308.37","","",""
"","498.36","","",""
"","1461.72","","",""
"","613.43","","",""
"14.1","58.27","","",""
"0.83","270.55","","","42388.2396"
"0.2","353.27","","",""
"","","","","698.1368"
"8.7","","","",""
"0.4","53.32","","","174.5684"
"","444.8","","",""
"","151.15","","",""
"","47.19","","",""
"","221.85","","","800"
"1.47","387.34","","","400"
"1.55","","","",""
"","500.28","","","785.5578"
"","151.15","","","400"
"5.4","183.17","","",""
"0.19","545.5","0.37","0.02","400"
"0.31","447","","","610"
"4.1","11.89","","","1920.2524"
"","350.28","","","60"
"","11.89","","","1745.684"
"1.09","353.16","","",""
"0.7","594.52","1","0.13",""
"","","","","785.2789"
"","308.89","","","872.842"
"","61.4","","",""
